,year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
0,2015,7,8483698717.0,5229226022.0,3254472695.0,7665421980.0,4376666686.0,3288755294.0
1,2015,8,8304022031.0,5035534449.0,3268487582.0,7634815221.0,4332482183.0,3302333038.0
2,2015,9,8582061182.0,5409631355.0,3172429827.0,7655695037.0,4485491704.0,3170203333.0
3,2015,10,8781786976.0,5535704471.0,3246082505.0,7746031887.0,4477532755.0,3268499132.0
4,2015,11,8515190628.0,5296956116.0,3218234512.0,7524321290.0,4287720220.0,3236601070.0
5,2015,12,8651858036.0,5264446173.0,3387411863.0,7476287344.0,4100012037.0,3376275307.0
6,2016,1,9309261244.0,5569632502.0,3739628742.0,8154016303.0,4436179457.0,3717836846.0
7,2016,2,8680940753.0,5347709361.0,3333231392.0,7585859457.0,4250997185.0,3334862272.0
8,2016,3,8827529692.0,5407676056.0,3419853636.0,7673274617.0,4286590426.0,3386684191.0
9,2016,4,8873620523.0,5572235399.0,3301385124.0,7408147859.0,4149383857.0,3258764002.0
10,2016,5,8748968139.0,5330532334.0,3418435805.0,7586811330.0,4191778094.0,3395033236.0
11,2016,6,8347710510.0,4975092447.0,3372618063.0,7243630656.0,3888839711.0,3354790945.0
12,2016,7,8864627560.0,5363966439.0,3500661121.0,7834439589.0,4337865827.0,3496573762.0
13,2016,8,,,,8210865519.0,4695046216.0,3515819303.0
14,2016,9,,,,7528292279.0,4135006498.0,3393285781.0
15,2016,10,,,,7871021581.0,4361737690.0,3509283891.0
16,2016,11,,,,7983113161.0,4392068236.0,3591044925.0
17,2016,12,,,,7986152433.0,4209608578.0,3776543855.0
18,2017,1,,,,8753941940.0,4521980398.0,4231961542.0
19,2017,2,,,,7738463562.0,4026702163.0,3711761399.0
20,2017,3,,,,8223465891.0,4319971902.0,3903493989.0
21,2017,4,,,,7591080111.0,3951456992.0,3639623119.0
22,2017,5,,,,7874558299.0,4187870579.0,3686687720.0
23,2017,6,,,,7123934190.0,3604550997.0,3519383193.0
24,2017,7,,,,7290503797.0,3565444544.0,3725059253.0
25,2017,8,,,,7196978615.0,3575572313.0,3621406302.0
